Longitude,Latitude,Green Index
128.896274,35.082,11.64074057
128.897059,35.08198,6.460914386
128.896201,35.082014,8.308871117
128.896088,35.081757,9.686748798
128.89609,35.081661,9.769092086
128.896086,35.081853,9.279655141
128.896085,35.08195,7.56720368
128.896146,35.082066,7.637990015
128.896013,35.081782,11.900772
128.896013,35.081688,11.94237703
128.897176,35.081985,6.009326461
128.896014,35.081876,10.73640902
128.896014,35.081593,11.03515625
128.896014,35.081498,10.34491725
128.896014,35.082065,9.104856232
128.896084,35.082146,8.516607341
128.897301,35.081989,7.610253328
128.896015,35.081404,11.07993944
128.896014,35.082158,9.072785688
128.896085,35.082246,9.930022652
128.896016,35.081312,11.57573271
128.897421,35.081992,12.54449427
128.896015,35.082251,9.099077755
128.896017,35.081219,11.15534856
128.896016,35.082342,9.07827524
128.897524,35.081994,10.10597726
128.896018,35.081125,11.23278014
128.896087,35.082443,9.634164663
128.896016,35.082435,8.430796967
128.897625,35.081996,8.136094675
128.896019,35.08103,12.43123613
128.896088,35.082539,9.707840237
128.896016,35.082528,8.825466901
128.897732,35.081997,7.89195405
128.896022,35.080936,12.15589173
128.896015,35.082624,9.494903384
128.897839,35.081996,7.314106416
128.896029,35.08084,13.89434634
128.896089,35.082726,11.146103
128.896014,35.082721,9.589670396
128.89795,35.081995,6.984155418
128.896044,35.080746,13.05068879
128.896089,35.082817,10.98979521
128.896014,35.082819,10.49515764
128.886649,35.112137,4.544771635
128.886544,35.112188,4.499121672
128.886459,35.112247,4.966022559
128.886771,35.112078,4.084804919
128.886362,35.112293,4.76926544
128.88625,35.112322,2.798227163
128.886518,35.112035,3.122688609
128.886428,35.112077,3.982525888
128.886544,35.111989,4.139122596
128.886453,35.112035,4.274338942
128.887053,35.111922,4.13334412
128.886634,35.111941,3.837775055
128.886362,35.112077,4.114852996
128.886133,35.112381,3.270906527
128.886241,35.112162,4.100406805
128.886724,35.111892,4.374306583
128.886265,35.112119,7.326241217
128.886805,35.111845,3.415368436
128.886142,35.112206,3.902205067
128.886166,35.11216,5.753628883
128.887147,35.111858,4.556906435
128.88603,35.112431,3.621371117
128.88691,35.111781,4.412444527
128.886043,35.11225,3.472286428
128.886066,35.112202,7.691151997
128.885941,35.112469,2.838387574
128.887245,35.11179,5.031030418
128.885946,35.112295,2.839832193
128.885965,35.112244,20.03686668
128.887009,35.111713,4.103584967
128.887075,35.111704,2.613026997
128.885866,35.112524,3.231612888
128.885865,35.112286,12.78256749
128.885848,35.112341,2.644808617
128.885916,35.112868,3.87215699
128.887338,35.111721,5.857641457
128.887136,35.11162,3.671066013
128.885893,35.112966,4.339057877
128.885793,35.112245,20.28389654
128.885762,35.112328,8.795996672
128.88574,35.112392,2.932865662
128.885728,35.112546,2.212289663
128.885805,35.112135,16.06098604
128.887427,35.111645,5.643259985
128.885824,35.112036,13.44189164
128.885876,35.11194,18.2065343
128.885682,35.112309,23.77525194
128.885848,35.113058,5.138799001
128.885657,35.112369,20.14665773
128.887239,35.111533,2.085741032
128.886649,35.112137,4.544771635
128.886771,35.112078,4.084804919
128.886544,35.112188,4.499121672
128.886459,35.112247,4.966022559
128.886362,35.112293,4.76926544
128.887053,35.111922,4.13334412
128.88625,35.112322,2.798227163
128.887147,35.111858,4.556906435
128.886133,35.112381,3.270906527
128.886518,35.112035,3.122688609
128.886428,35.112077,3.982525888
128.886544,35.111989,4.139122596
128.886453,35.112035,4.274338942
128.886634,35.111941,3.837775055
128.885916,35.112868,3.87215699
128.886724,35.111892,4.374306583
128.886362,35.112077,4.114852996
128.88603,35.112431,3.621371117
128.886241,35.112162,4.100406805
128.885893,35.112966,4.339057877
128.887245,35.11179,5.031030418
128.886805,35.111845,3.415368436
128.886265,35.112119,7.326241217
128.886142,35.112206,3.902205067
128.885941,35.112469,2.838387574
128.886166,35.11216,5.753628883
128.88691,35.111781,4.412444527
128.885848,35.113058,5.138799001
128.886043,35.11225,3.472286428
128.887338,35.111721,5.857641457
128.885866,35.112524,3.231612888
128.886066,35.112202,7.691151997
128.887009,35.111713,4.103584967
128.885806,35.113152,6.891410873
128.887075,35.111704,2.613026997
128.885946,35.112295,2.839832193
128.885965,35.112244,20.03686668
128.88578,35.113236,7.648102348
128.888003,35.11399,12.95621071
128.887427,35.111645,5.643259985
128.888288,35.113826,16.60329604
128.888188,35.113898,18.81385216
128.888245,35.113861,14.03447439
128.888102,35.11395,11.05595876
128.885848,35.112341,2.644808617
128.888332,35.113801,10.66475592
128.888158,35.113923,13.08247041
128.888417,35.113742,6.162456084
128.887136,35.11162,3.671066013
128.888068,35.113986,8.389769786
128.83974,35.150709,13.15903523
128.839845,35.150709,14.24018815
128.83963,35.150709,13.70799048
128.839946,35.150709,14.03534116
128.839521,35.150709,13.61842409
128.840052,35.150709,12.3301128
128.839413,35.150708,14.07636834
128.839982,35.15068,12.36998428
128.840161,35.150708,10.74681028
128.840109,35.150681,10.66706731
128.839304,35.150707,12.64215052
128.840272,35.150707,13.12291975
128.840235,35.150682,12.71611501
128.8392,35.150706,13.07149131
128.840385,35.150707,12.75280834
128.84036,35.150682,13.27662722
128.8391,35.150706,12.26192678
128.839148,35.150681,11.35990662
128.840501,35.150708,10.81268491
128.840484,35.150682,10.60494869
128.83902,35.150682,10.03519092
128.838951,35.150707,10.87306999
128.840616,35.15071,8.240107249
128.838893,35.150682,9.630986501
